,overall,style,reviewText,summary
13,5,{'Format:': ' DVD'},"['great', 'read', 'much', 'historical', 'info', 'thank']",A great read. So much historical info
15,5,{'Format:': ' VHS Tape'},"['well', 'done', 'video', 'important', 'information', 'americans', 'know']",Americans should see this.
16,2,{'Format:': ' VHS Tape'},"['lot', 'information', 'piece', 'coming', 'faster', 'freight', 'train', 'another', 'side', 'video', 'doubt', 'produced', 'right', 'wing', 'propaganda', 'means', 'able', 'use', 'hoped', 'children', 'home', 'schooling', 'one', 'large', 'section', 'video', 'series', 'quotes', 'historical', 'u', 'leaders', 'mentioning', 'god', 'bible', 'quotes', 'simply', 'inserted', 'without', 'background', 'even', 'common', 'ground', 'relate']",Lots of Info. But Mostly a Right-Wing Agenda Pusher
17,5,{'Format:': ' DVD'},"['essential', 'message', 'told', 'society', 'today', 'people', 'claim', 'nation', 'founded', 'christianity', 'writers', 'constitution', 'actually', 'deists', 'rather', 'christians', 'preponderance', 'evidence', 'centuries', 'time', 'presented', 'including', 'wording', 'documents', 'mayflower', 'compact', 'establish', 'christian', 'heritage', 'nation', 'unapologetically', 'beyond', 'refute', 'matter', 'history', 'story', 'told', 'origins', 'destructive', 'objectives', 'organizations', 'planned', 'parenthood', 'american', 'civil', 'liberties', 'union', 'aclu', 'founder', 'planned', 'parenthood', 'interested', 'eugenics', 'specifically', 'reducing', 'number', 'blacks', 'survive', 'born', 'country', 'efforts', 'aclu', 'remove', 'prayer', 'bible', 'school', 'shown', 'direct', 'conflict', 'statements', 'founding', 'fathers', 'considered', 'essential', 'proper', 'education', 'would', 'equip', 'youth', 'country', 'effective', 'citizenship', 'redefinition', 'marriage', 'include', 'homosexual', 'relationships', 'shown', 'tearing', 'fabric', 'traditional', 'family', 'stability', 'society', 'become', 'nation', 'adrift', 'much', 'comes', 'ignorance', 'country', 'founded', 'sacrifices', 'made', 'along', 'way', 'dvd', 'would', 'beneficial', 'viewing', 'every', 'home', 'school', 'church', 'country']",This should be esential reading for everyone in the USA.
18,4,{'Format:': ' DVD'},"['haters', 'say', 'biased', 'founding', 'fathers', 'christians', 'deists', 'maybe', 'true', 'ff', 'documentary', 'informative', 'nation', 'started', 'something', 'certainly', 'anymore', 'falling', 'movie', 'gives', 'insight']",Haters gonna hate
19,5,{'Format:': ' DVD'},"['great', 'video', 'gives', 'early', 'history', 'great', 'country', 'highly', 'recommend', 'everyone', 'especially', 'school', 'children', 'learning', 'history', 'country']",Interesting and educational video about our great country!
20,4,{'Format:': ' DVD'},"['video', 'presents', 'good', 'capsular', 'history', 'country', 'founding', 'principles', 'progresses', 'history', 'america', 'fabric', 'made', 'unusual', 'nation', 'began', 'deteriorate', 'america', 'founded', 'war', 'broke', 'shackles', 'tyrant', 'king', 'george', 'basis', 'religious', 'freedom', 'many', 'still', 'free', 'second', 'war', 'would', 'ensue', 'family', 'faith', 'personal', 'responsibility', 'generosity', 'work', 'morality', 'integrity', 'freedom', 'part', 'legacy', 'oven', 'decades', 'eroded', 'story', 'happened']",A Nation Adrift purchased fro Amazon
21,5,{'Format:': ' DVD'},"['found', 'dvd', 'put', 'together', 'historical', 'facts', 'visuals', 'kept', 'interest', 'issues', 'discussed', 'would', 'recommend', '6', '12', 'grade', 'classes', 'watching']",better than expected
22,5,{'Format:': ' DVD'},"['well', 'done', 'definitely', 'showing', 'children', 'get', 'little', 'older', 'documentary', 'never', 'see', 'public', 'school', 'system', 'days', 'ironically', 'one', 'documentary', 'see', 'graduate', 'amazing', 'far', 'country', 'fallen', 'original', 'intentions', 'founding', 'fathers', 'great', 'reminder', 'liberalism', 'political', 'correctness', 'done', 'united', 'states', 'america']",A must see for all Americans
23,5,{'Format:': ' DVD'},"['really', 'excellent', 'piece', 'work', 'showing', 'beliefs', 'founding', 'fathers', 'happening', 'nation']",Freedom and Religon under attack
24,5,{'Format:': ' DVD'},"['course', 'impossible', 'separate', 'henry', 'winkler', 'famous', 'fonzie', 'persona', 'actually', 'great', 'job', 'scrooge', 'character', 'movie', 'performance', 'quiet', 'subdued', 'overdone', 'might', 'expect', 'intense', 'actor', 'thought', 'winkler', 'great', 'job', 'chaning', 'fonzie', 'image', 'taking', 'roll', 'embittered', 'lonely', 'miser', 'actually', 'characters', 'winkler', 'plays', 'different', 'slade', 'felt', 'abandoned', 'betrayed', 'loved', 'fonzie', 'also', 'abandoned', 'parents', 'winkler', 'parents', 'turned', 'backs', 'young', 'man', 'wanted', 'actor', 'instead', 'following', 'family', 'business', 'believe', 'rolls', 'like', 'well', 'quite', 'surprised', 'find', 'movie', 'available', 'dvd', 'gladly', 'purchased', 'add', 'collection', 'christmas', 'movies']",The Fonz as Scrooge
25,5,{'Format:': ' DVD'},"['first', 'aired', '1979', 'enjoyed', 'much', 'clean', 'forgot', 'christmas', 'carol', 'wanted', 'see', 'thoughout', 'year', 'finally', 'got', 'copy', 'vhs', 'got', 'wish', 'finally', 'got', 'dvd', 'copy', 'glad', 'see', 'henry', 'winkler', 'best', 'scrooge', 'variation', 'since', 'alistair', 'sim', '1951', 'version', 'dvd', 'treat', 'gods', 'although', '1984', '1999', 'made', 'television', 'films', 'made', 'george', 'scott', 'patrick', 'stewart', 'dvd', 'version', 'first', 'attempt', 'bring', 'classic', 'dickens', 'tale', 'small', 'screen', 'enjoyable', 'today', '20', 'plus', 'years', 'ago', 'way', 'live', 'forever', 'get', 'disc', 'gets', 'away']",A Christmas Carol to be remembered
26,3,{'Format:': ' VHS Tape'},"['already', 'love', 'alistair', 'sim', 'version', 'scrooge', '1951', 'reginald', 'owen', 'version', '1938', 'mr', 'magoo', 'christmas', 'carol', 'kidding', 'beautifully', 'done', 'interesting', 'film', 'comparison', 'two', 'good', 'points', 'stand', 'version', 'dicken', 'classic', 'christmas', 'story', '1', 'since', 'adaptation', 'set', 'different', 'time', 'place', 'original', 'depression', 'era', 'new', 'england', 'deviations', 'text', 'basic', 'plot', 'line', 'bothersome', 'films', 'adapt', 'story', 'dickensian', 'england', '2', 'henry', 'winkler', 'time', 'playing', 'well', 'known', 'fonz', 'character', 'gives', 'excellent', 'characterization', 'scrooge', 'like', 'benedict', 'slade', 'george', 'c', 'scott', 'albert', 'finney', 'give', 'detailed', 'performances', 'scrooge', 'version', 'films', 'feature', 'good', 'production', 'values', 'case', 'finney', 'version', 'couple', 'good', 'songs', 'deviations', 'text', 'scott', 'version', 'added', 'material', 'finney', 'version', 'scrooge', 'hell', 'unnecessary', 'little', 'annoying']",An interesting contrast to more traditional versions
27,4,{'Format:': ' DVD'},"['henry', 'winkler', 'proves', 'acting', 'ability', 'american', 'version', 'dickens', 'classic', 'one', 'actually', 'forget', 'fonz', 'amazed', 'transformation', 'nice', 'guy', 'mean', 'guy', 'back', 'nice', 'guy', 'general', 'feel', 'movie', 'though', 'grey', 'best', 'way', 'describe', 'bleak', 'grey', 'time', 'american', 'history', 'great', 'depression', 'dickens', 'originally', 'wrote', 'book', 'grey', 'time', 'england', 'history', 'well', 'subdued', 'feeling', 'one', 'gets', 'watching', 'modern', 'version', 'fits', 'well', 'spirit', 'original', 'story', 'nice', 'twist', 'sorry', 'oliver', 'true', 'classic', 'way', 'money', 'finest', 'original', 'version', 'george', 'c', 'scott', 'version', 'followed', 'closely', 'alistair', 'sim']",grey
28,4,{'Format:': ' VHS Tape'},"['huge', 'fan', 'classic', 'dozens', 'versions', 'one', 'adds', 'nice', 'variety', 'twists', 'changes', 'timeless', 'story', 'truly', 'justice', 'original', 'performances', 'part', 'stellar', 'looking', 'feel', 'good', 'movie', 'new', 'setting', 'one']",A Great New Version of a Wonderful Old Story
32,5,{'Format:': ' Amazon Video'},"['tv', 'movie', 'brought', 'back', 'fond', 'memories', 'first', 'time', 'wife', 'watched', 'late', '70', 'henry', 'winkler', 'great', 'job', 'character', 'american', 'scrooge', 'radical', 'change', 'fonz']",Henry Winkler did a great job with the character of an American Scrooge
33,5,{'Format:': ' DVD'},"['modern', 'version', 'classic', 'think', 'impressed', 'parents', 'took', 'gave', 'try', 'say', 'great', 'adaptation', 'cast', 'great', 'winkler', 'exceptional', 'happy', 'see', 'amazon', 'happened', 'catch', 'price', 'went', 'way', 'snapped', 'great', 'timeless', 'classic', 'winkler', 'really', 'surprised', 'portrayal']","Was happily surprised...great version, esp for a TV rendition."
35,5,{'Format:': ' DVD'},"['rare', 'classic', 'good', 'movie']",a good movie.
36,5,{'Format:': ' Amazon Video'},"['christmas', 'carol', 'time', 'favorite', 'story', 'found', 'version', 'disliked', 'yet', 'one', 'exception', 'henry', 'winkler', 'awesome', 'joy', 'portraying', 'scrooge', 'like', 'character']",The Christmas Carol is my all time favorite story. I haven't found a version that I ...
37,5,{'Format:': ' DVD'},"['heard', 'movie', 'saw', 'years', 'ago', 'husband', 'wanted', 'see', 'added', 'christmas', 'movie', 'collection']",Heard about this movie saw it years ago. Husband ...
39,3,{'Format:': ' Amazon Video'},"['well', 'made', 'christmas', 'movie', 'little', 'slow', 'sweet', 'natured']",It's a little slow but sweet natured.
40,5,{'Format:': ' Blu-ray'},"['great', 'spin', 'classic', 'christmas', 'story', 'master', 'c', 'dickens']",Five Stars
42,5,{'Format:': ' DVD'},"['loved', 'henry', 'winkler', 'great', 'actor', 'missed', 'tv', 'year', 'buy', 'collection', 'thanks']",Henry Winkler A Christmas Carol
43,4,{'Format:': ' DVD'},"['movie', 'better', 'ought', 'authentic', 'settings', 'costuming', 'america', '1930', 'depression', 'era', 'scrooge', 'character', 'really', 'good', 'changeover', 'old', 'tv', '4', '5', 'ratio']",Fronz does us proud!
46,4,{'Format:': ' DVD'},"['love', 'movie', 'twist', 'original']",Four Stars
47,5,{'Format:': ' DVD'},"['great', 'adaptation', 'dickens', 'classic', 'henry', 'winkler', 'gifted', 'actor']",Five Stars
48,5,{'Format:': ' DVD'},"['looking', 'dvd', 'long', 'time', 'love', 'henry', 'winkler', 'movie']",Love Henry Winkler in the
49,5,{'Format:': ' DVD'},"['many', 'versions', 'christmas', 'carol', 'humble', 'opinion', 'feature', 'length', 'story', 'set', 'america', 'great', 'depression', 'starring', 'henry', 'winkler', 'scrooge', 'role', 'far', 'finest', 'interpretation', 'classic', 'story', 'dickens', 'would', 'written', 'lived', 'america', '1930', 'human', 'drama', 'real', 'joyful', 'ending', 'brings', 'dickens', 'ending', 'american', 'culture', 'big', 'smile']",The FINEST interpretation of Dickens' classic short story !
50,5,{'Format:': ' Amazon Video'},"['watching', 'movie', 'several', 'christmas', 'seasons', 'love']",A favorite of mine!
51,5,{'Format:': ' DVD'},"['time', 'fav', 'christmas', 'movie', 'seen', 'version', 'need', 'check', 'least', 'life']",this is my all time fav christmas movie. if ...
52,4,{'Format:': ' Amazon Video'},"['certainly', 'best', 'favorite', 'still', 'enjoyable']",Four Stars
53,5,{'Format:': ' DVD'},"['always', 'loved', 'version', 'christmas', 'carol']",one of my favorite Christmas movies
54,5,{'Format:': ' DVD'},"['henry', 'winkler', 'cute', 'ever', 'movie', 'nice', 'addition', 'christmas', 'carol', 'collection']",This movie is a nice addition to my Christmas Carol collection
57,4,{'Format:': ' Amazon Video'},"['found', 'american', 'christmas', 'carol', 'enjoyable', 'opinion', 'rise', 'level', 'film', 'versions', 'dickens', 'christmas', 'carol', 'worth', 'watching']","Found ""An American Christmas Carol"" to be enjoyable. In ..."
59,4,{'Format:': ' Amazon Video'},"['henry', 'winkler', 'great']","Kind of like A Christmas Carol, Scrooge."
60,3,{'Format:': ' Amazon Video'},"['among', 'favorite', 'updated', 'versions', 'christmas', 'carol']",Three Stars
61,5,{'Format:': ' Amazon Video'},"['always', 'loved', 'watching', 'american', 'christmas', 'carol', 'tradition', 'family']",Five Stars
62,5,{'Format:': ' Amazon Video'},"['movie', 'really', 'good', 'loved']",An American Christmas Carol
63,3,{'Format:': ' Amazon Video'},"['ok', 'best']",OK but not great.
64,5,{'Format:': ' DVD'},"['wonderful', 'movie', 'well', 'made', 'henry', 'winkler', 'amazing', 'roll']",Five Stars
65,4,{'Format:': ' Amazon Video'},"['husband', 'looking', 'christmas', 'movie', 'watch', 'stumbled', 'across', 'one', 'randomly', 'chose', 'henry', 'winkler', 'pleasanly', 'surprised', 'much', 'liked', 'nice', 'update', 'classic', 'story', 'even', 'though', 'old', 'recommend']",A nice surprise
67,2,{'Format:': ' Amazon Video'},"['hate', 'say', 'example', 'make', 'falling', 'short', 'mark']",Stick with the classic version
68,4,{'Format:': ' Amazon Video'},"['great', 'contemporary', 'perspective', 'christmas', 'carol']",Great!
69,5,{'Format:': ' DVD'},"['great', 'price', 'great', 'quality', 'buy', 'seller']",Five Stars
70,5,{'Format:': ' Amazon Video'},"['thrilled', 'see', 'american', 'christmas', 'carol', 'prime', 'list', 'love', 'dicken', 'story', 'worthy', 'adaptation', 'remembered', 'original', 'viewing', '30', 'years', 'ago', 'set', 'early', '20th', 'century', 'america', 'simple', 'changes', 'classic', 'version', 'scrooge', 'money', 'lender', 'grown', 'rich', 'lending', 'repossessing', 'merchandise', 'clients', 'could', 'keep', 'payments', 'ghosts', 'christmas', 'past', 'present', 'future', 'represented', 'clients', 'anyone', 'familiar', 'christmas', 'carol', 'trouble', 'recognizing', 'storyline', 'feel', 'good', 'holiday', 'favorite']",A good adaptation of a holiday favorite
71,4,{'Format:': ' Amazon Video'},"['thought', 'good', 'interpretation', 'christmas', 'carol', 'henry', 'winkler', 'good', 'job', 'mr', 'slate', 'scrooge', 'would', 'recommend', 'movie', 'fan']",Thought it was a very good interpretation of A Christmas Carol
73,3,{'Format:': ' Amazon Video'},"['ok', 'adaptation', 'still', 'prefer', 'original', 'version']",Bah Humbug?
74,5,{'Format:': ' Amazon Video'},"['getting', 'tired', 'holiday', 'movies', 'run', 'every', 'day', 'christmas', 'love', 'old', 'movie', 'great', 'watch', 'holidays', 'husband', 'watched', 'christmas', 'eve']",Classic Christmas Movie
75,3,{'Format:': ' Amazon Video'},"['expected', 'low', 'budget']",Wouldn't watch again
77,5,{'Format:': ' Amazon Video'},"['well', 'done', 'henry', 'winkler', 'performed', 'flawlessly']",A Great Adaptation of the Dickens Classic
78,5,{'Format:': ' Amazon Video'},"['good', 'best', 'thing', 'henry', 'winkler', 'ever']",Five Stars
80,4,{'Format:': ' Amazon Video'},"['sweet', 'movie', 'henry', 'winkler', 'christmas', 'carol', 'genre']",Four Stars
81,5,{'Format:': ' Amazon Video'},"['classic', 'scrooge', 'movie', 'set', '30', 'love', 'henry', 'winkler']",... scrooge movie but set in the 30's and I love Henry Winkler
83,4,{'Format:': ' Amazon Video'},"['enjoyed', 'different', 'twist', 'dicken', 'tale']",Four Stars
84,3,{'Format:': ' Amazon Video'},"['interesting', 'adaption', 'scrooge', 'story']",Different
85,5,{'Format:': ' Amazon Video'},"['good', 'take', 'original']",Five Stars
88,5,{'Format:': ' Amazon Video'},"['henery', 'winkler', 'fan']",Anything Winkler
89,2,{'Format:': ' Amazon Video'},"['pathetic', 'reproduction', 'dickens', 'classic', 'interesting', 'movie', 'particularly', 'concerned', 'problem', 'people', 'lose', 'possessions', 'money', 'lenders', 'corporations', 'unlike', 'ones', 'directly', 'indirectly', 'media', 'present', 'us', 'american', 'version', 'christmas', 'carol']",Don't Bother: Read the News
90,5,{'Format:': ' Amazon Video'},"['love', 'movie', 'brings', 'back', 'memories', 'first', 'saw', 'henry', 'winkler', 'wonderful', 'american', 'scrooge', 'set', 'depression', '1930s', 'tiny', 'tim', 'young', 'boy', 'hit', 'polio']",Henry Winkler Is America's Scrooge
92,4,{'Format:': ' Amazon Video'},"['worth', 'watching', 'like', 'dickens']",I love a good Christmas story...
93,5,{'Format:': ' Amazon Video'},"['since', 'love', 'henry', 'winkler', 'easy', 'one', 'enjoy', 'henry', 'great', 'actor']","Henry is a great ""Scrooge"" aka Mr. Slade."
95,1,{'Format:': ' Amazon Video'},"['slow', 'moving', 'boring', 'never', 'finished']",Boring. Never finished it
96,4,{'Format:': ' Amazon Video'},"['thought', 'good', 'christmas', 'movie']",Four Stars
97,4,{'Format:': ' Amazon Video'},"['really', 'great', 'never', 'knew', 'fonze', 'played', 'scrooge', 'well', 'characters', 'names', 'different', 'nephew', 'ghost', 'christmas', 'future', 'talks', 'basic', 'story', 'line', 'old', 'wonderful', 'classic', 'really', 'enjoyed', 'movie', 'think']",Worth watching!
98,5,{'Format:': ' Amazon Video'},"['great', 'seeing', 'remember', 'first', 'came', 'henry', 'winkler', 'still', 'fonz', 'remember', 'strange', 'seeing', 'role', 'great', 'take', 'mr', 'dickens', 'classic', 'story']",Heeyyy
99,4,{'Format:': ' Amazon Video'},"['classic', 'christmas', 'carol', 'henry', 'winkler', 'playing', 'scrooge', 'actually', 'fairly', 'young', 'played', 'part', 'great', 'job', 'making', 'look', 'like', 'old', 'man', 'course', 'henry', 'great', 'job', 'acting', 'portion', 'ending', 'take', 'little', 'unbelievable', 'scroodge', 'old', 'time', 'still', 'uplifting', 'film', 'good', 'lesson', 'life']",Scroodge with Henry Winkler
100,4,{'Format:': ' Amazon Video'},"['fine', 'acting', 'henry', 'winkler', 'supporting', 'cast', 'nice', 'version', 'many', 'films', 'made', 'christmas', 'carol']",Nice version of A Christmas Carol
102,3,{'Format:': ' Amazon Video'},"['wife', 'liked', 'old', 'tv', 'special']",Wife liked it!
104,5,{'Format:': ' Amazon Video'},"['fans', 'dickens', 'story', 'remains', 'fresh', 'today', 'fans', 'henry', 'winkler', 'delivers', 'fonzi', 'good', 'looks', 'particular', 'method', 'acting', 'focused', 'sharp', 'movement', 'dialogue', 'great', 'watch', 'happy', 'days', 'familiar']",For fans of Henry Winkler it delivers with his Fonzi good looks and particular method of acting - very focused ...
105,5,{'Format:': ' Amazon Video'},"['well', 'made', 'good', 'acting']",good acting for
106,4,{'Format:': ' Amazon Video'},"['enjoyed', 'another', 'version', 'christmas', 'carol', 'story', 'still', 'comes']",Four Stars
108,5,{'Format:': ' Amazon Video'},"['recall', 'watching', 'henry', 'winkler', 'talk', 'show', 'movie', 'came', 'television', 'asked', 'viewers', 'let', 'know', 'thought', 'role', 'different', 'ones', 'come', 'know', 'eg', 'fonz', 'watched', '30', 'years', 'ago', 'enjoyed', 'recently', 'sought', 'watched', 'excellent', 'retelling', 'dicken', 'classic', 'americanized', 'twist', 'lessons', 'timeless', 'henry', 'winkler', 'mr', 'slade', 'really', 'well', 'done', 'believable', 'fan', 'christmas', 'carol', 'seen', 'many', 'cinematic', 'variations', 'made', 'tv', 'one', 'really', 'see']",I enjoyed it. It wasn't until recently I sought it ...
109,5,{'Format:': ' Amazon Video'},"['winkler', 'make', 'job', 'dated', 'realistic', 'version', 'well', 'done', 'nice', 'story', 'glad', 'found', 'amazon', 'seeing', 'back', '1979', 'tv']",A nice version of Christmas carol - winkler does a nice job
111,5,{'Format:': ' Amazon Video'},"['excellent', 'story', 'reminds', 'love', 'god', 'jesus', 'loves']",Five Stars
112,4,{'Format:': ' Amazon Video'},"['good', 'story', 'family', 'great', 'message']",Four Stars
113,5,{'Format:': ' Amazon Video'},"['love', 'henry', 'winkler', 'convincing', 'scrooge', 'meltable', 'heart', 'really', 'liked', 'way', 'story', 'wrote', 'ghostly', 'ghosts', 'past', 'present', 'future', 'christmases', 'love', 'happy', 'ending']",God bless Henry Winkler!
114,4,{'Format:': ' Amazon Video'},"['good', 'movie', 'still', 'like', 'old', 'one', 'best']",Four Stars
115,5,{'Format:': ' DVD'},"['saw', 'tv', 'movie', 'good', 'story', 'based', 'christmas', 'carol', 'set', 'depression', 'era', 'henry', 'winkler', 'excellent', 'acting', 'wonderful', 'christmas', 'movie']",great DVD
116,4,{'Format:': ' Amazon Video'},"['good', 'gets', 'modern', 'twist', '1800', 'tale']",Fun to watch.
120,5,{'Format:': ' Amazon Video'},"['henry', 'winkler', 'great', 'job', 'playing', 'slade', 'plan', 'mean', 'cold', 'hearted', 'rich', 'nothing', 'show', 'usual', 'transformation', 'auction', 'new', 'twist', 'adding', 'humor', 'un', 'expected', 'scene', 'winkler', 'ends', 'much', 'fun', 'end', 'movie', 'making', 'turning', 'comedy', 'watch']",Ayyyyyyyy! plus performance by Winkler
122,4,{'Format:': ' Amazon Video'},"['henry', 'winkler', 'great', 'job', 'american', 'rendition', 'classic']",Four Stars
123,5,{'Format:': ' Amazon Video'},"['great', 'holiday', 'movie', 'outstanding', 'miss', 'ed']",Five Stars
125,5,{'Format:': ' Amazon Video'},"['still', 'love', 'watch', 'movie', 'christmas', 'season']",great Christmas flick
127,5,{'Format:': ' DVD'},"['wow', 'didnt', 'think', 'like', 'much', 'never', 'think', 'fonz', 'watching', 'version', 'classic', 'story', 'three', 'quarters', 'movie', 'hated', 'winklers', 'character', 'creep', 'excellent', 'movie', 'imo']",This Isnt The Fonz---Ayyyyyyye.
128,5,{'Format:': ' Amazon Video'},"['like', 'first', 'came', 'guess', 'grows']",Imrproves with age
129,3,{'Format:': ' Amazon Video'},"['offense', 'performers', 'good', 'works', 'best', 'setting', 'england']",Just OK
132,1,{'Format:': ' Amazon Video'},"['movie', 'expected', 'however', 'worth', 'look', 'free', 'prime', 'man']","This movie was not what I expected, however, ..."
